Date,Open,High,Low,Close,Adj Close,Volume
2024-05-15,0.069000,0.069000,0.069000,0.069000,-46.688175,0
2024-05-16,0.072000,0.072000,0.072000,0.072000,-48.718098,0
2024-05-17,0.071000,0.071500,0.071000,0.071000,-48.041458,0
2024-05-20,0.073000,0.073000,0.071500,0.071500,-48.379780,0
2024-05-21,0.071500,0.071500,0.071500,0.071500,-48.379780,0
2024-05-22,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-05-23,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-05-24,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-05-27,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-05-28,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-05-29,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-05-30,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-05-31,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-06-03,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-06-04,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-06-05,0.070500,0.070500,0.070500,0.070500,-47.703140,0
2024-06-06,0.062500,0.063000,0.062500,0.063000,0.063000,0
2024-06-07,0.064000,0.064000,0.063500,0.064000,0.064000,0
2024-06-10,0.064500,0.070000,0.063500,0.070000,0.070000,7800
2024-06-11,0.063000,0.063500,0.063000,0.063500,0.063500,0
2024-06-12,0.061000,0.061000,0.060000,0.060000,0.060000,0
2024-06-13,0.061000,0.061000,0.060500,0.060500,0.060500,0
2024-06-14,0.058500,0.058500,0.057500,0.057500,0.057500,0
2024-06-17,0.057500,0.057500,0.057500,0.057500,0.057500,0
2024-06-18,0.057000,0.057000,0.057000,0.057000,0.057000,0
2024-06-19,0.055000,0.055000,0.054500,0.054500,0.054500,0
2024-06-20,0.055500,0.056500,0.055500,0.056500,0.056500,0
2024-06-21,0.061500,0.062500,0.061500,0.062500,0.062500,0
2024-06-24,0.062000,0.062500,0.062000,0.062000,0.062000,0
2024-06-25,0.062000,0.062500,0.062000,0.062500,0.062500,0
2024-06-26,0.064000,0.064000,0.064000,0.064000,0.064000,0
2024-06-27,0.064000,0.065000,0.064000,0.065000,0.065000,0
2024-06-28,0.065000,0.065500,0.064500,0.064500,0.064500,0
2024-07-01,0.065500,0.066000,0.065500,0.066000,0.066000,0
2024-07-02,0.065500,0.065500,0.065000,0.065500,0.065500,0
2024-07-03,0.064000,0.064500,0.064000,0.064500,0.064500,0
2024-07-04,0.065500,0.065500,0.064500,0.064500,0.064500,0
2024-07-05,0.065000,0.066500,0.065000,0.066500,0.066500,0
2024-07-08,0.066000,0.066500,0.066000,0.066500,0.066500,0
2024-07-09,0.066000,0.066000,0.066000,0.066000,0.066000,0
2024-07-10,0.068000,0.068000,0.068000,0.068000,0.068000,0
2024-07-11,0.071000,0.071000,0.069000,0.069000,0.069000,0
2024-07-12,0.071000,0.071000,0.069500,0.069500,0.069500,0
2024-07-15,0.070000,0.070000,0.068500,0.068500,0.068500,0
2024-07-16,0.069000,0.069500,0.069000,0.069500,0.069500,0
2024-07-17,0.068500,0.068500,0.068000,0.068000,0.068000,0
2024-07-18,0.068000,0.069000,0.067500,0.069000,0.069000,0
2024-07-19,0.068500,0.069500,0.068500,0.069500,0.069500,0
2024-07-22,0.070000,0.070500,0.069500,0.069500,0.069500,0
2024-07-23,0.069000,0.069500,0.069000,0.069000,0.069000,0
2024-07-24,0.068500,0.069000,0.068000,0.069000,0.069000,0
2024-07-25,0.069000,0.069000,0.068000,0.068500,0.068500,0
2024-07-26,0.069000,0.069000,0.068000,0.068000,0.068000,0
2024-07-29,0.067500,0.069500,0.067500,0.069500,0.069500,0
2024-07-30,0.068500,0.069000,0.068000,0.069000,0.069000,0
2024-07-31,0.071500,0.071500,0.071000,0.071000,0.071000,0
2024-08-01,0.070000,0.070000,0.069500,0.069500,0.069500,0
2024-08-02,0.069000,0.069000,0.067500,0.067500,0.067500,0
2024-08-05,0.065000,0.065000,0.064500,0.064500,0.064500,0
2024-08-06,0.067000,0.067000,0.067000,0.067000,0.067000,0
2024-08-07,0.068000,0.068500,0.068000,0.068000,0.068000,0
2024-08-08,0.067500,0.068000,0.067500,0.068000,0.068000,0
2024-08-09,0.067500,0.067500,0.067000,0.067000,0.067000,0
2024-08-12,0.067500,0.067500,0.067000,0.067000,0.067000,0
2024-08-13,0.067500,0.067500,0.067000,0.067000,0.067000,0
2024-08-14,0.068500,0.068500,0.068500,0.068500,0.068500,0
2024-08-15,0.068000,0.068000,0.068000,0.068000,0.068000,0
2024-08-16,0.068000,0.068000,0.067500,0.067500,0.067500,0
2024-08-19,0.067000,0.067500,0.067000,0.067500,0.067500,0
2024-08-20,0.067000,0.067000,0.067000,0.067000,0.067000,0
2024-08-21,0.066000,0.066500,0.066000,0.066000,0.066000,0
